0: "NOUN ADP NOUN"
1: "ADP DET ADJ NOUN ADP NOUN PUNCT PUNCT NOUN ADP DET ADJ NOUN ADP NOUN NOUN CONJ ADJ NOUN AUX VERB CONJ DET NOUN NOUN AUX VERB PUNCT"
3: "NOUN AUX PART DET ADJ NOUN ADP DET NOUN PUNCT"
5: "ADP DET ADJ NOUN ADP DET NOUN PUNCT ADV PUNCT DET NOUN AUX ADV ADV CONJ ADV AUX PART DET NOUN PUNCT PUNCT"
6: "ADV PUNCT PRON AUX ADV ADJ PART VERB DET NOUN ADV PUNCT ADV CONJ NOUN AUX NOUN ADJ ADJ ADP DET NOUN PUNCT"
7: "CONJ PRON AUX ADV ADJ NOUN ADP VERB PRON NOUN ADP ADV DET ADJ NOUN PUNCT"
8: "NOUN ADP DET NOUN VERB SCONJ DET NOUN AUX ADV VERB DET ADJ NOUN ADP DET NOUN ADP NOUN PUNCT"
10: "NOUN VERB PUNCT"
11: "PUNCT NUM PUNCT"
14: "NOUN NOUN PUNCT PUNCT"
15: "PUNCT"
16: "PUNCT DET NOUN PUNCT PRON VERB PUNCT"
19: "DET NOUN PART VERB PRON VERB DET NOUN ADP DET NOUN CONJ VERB PRT ADJ NOUN PUNCT"
20: "ADP DET NOUN CONJ NOUN AUX VERB ADP DET ADJ NOUN NOUN CONJ AUX ADV AUX VERB DET ADJ NOUN NOUN PUNCT"
22: "PRON AUX ADV PUNCT ADP DET NOUN ADP NOUN ADP DET NOUN PUNCT ADJ NOUN PUNCT PRON AUX VERB ADP PRON NOUN PUNCT DET NOUN AUX VERB ADP DET NUM PRT ADV NOUN CONJ NOUN VERB ADV PUNCT"
23: "PRON ADV VERB NOUN PRT NOUN PUNCT VERB ADP PRON ADJ VERB NOUN PUNCT"
25: "DET NOUN AUX ADJ CONJ ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN PUNCT"
28: "PRON VERB ADJ NOUN PUNCT VERB PRON NOUN ADP PRON NOUN NOUN NUM NOUN ADV PUNCT"
30: "NOUN AUX ADV AUX VERB ADP NOUN ADP NOUN ADP DET NOUN ADP NOUN PUNCT"
31: "ADP DET NOUN ADP NUM ADP NUM DET NOUN ADP NOUN VERB ADJ NOUN PUNCT"
32: "NOUN ADP PRON NOUN AUX AUX VERB ADP DET ADJ NOUN ADP DET NOUN PUNCT"
33: "NOUN PUNCT PUNCT"
34: "DET ADJ NOUN VERB VERB ADJ NOUN CONJ NOUN NOUN PUNCT PUNCT"
35: "ADP VERB PUNCT VERB ADP NUM NOUN VERB ADJ NOUN PUNCT"
37: "PRON AUX DET ADJ NOUN PUNCT PUNCT"
40: "PRON VERB DET NOUN ADP PRON NOUN PUNCT NOUN PUNCT CONJ NOUN PUNCT PUNCT"
42: "PRON AUX VERB ADP VERB PRON ADP NOUN PUNCT"
44: "PRON AUX DET NOUN NOUN ADV ADP DET NOUN ADP ADJ NOUN CONJ NOUN PUNCT PRON VERB PUNCT"
46: "ADP DET NOUN PRON NOUN AUX ADJ VERB PRON ADJ PRT VERB NOUN ADP DET VERB NOUN NOUN PUNCT"
49: "PRON AUX VERB PRT VERB DET ADJ NOUN PUNCT"
50: "PUNCT ADV PUNCT PRON AUX DET ADJ NOUN PRON AUX DET NOUN PUNCT"
