24: "CONJ PRON VERB DET NOUN ADP ADP PRT DET NOUN ADP NOUN AUX VERB ADV ADP PRON VERB ADV ."
38: "ADV DET PRT ADJ NOUN PRT PRON ADV VERB DET NOUN PRT VERB PRON NOUN PRT CONJ ADJ DET NOUN ADP NOUN VERB VERB ADJ DET NOUN ADP ADP DET NOUN ADP NUM NUM NUM NOUN ADP VERB DET NOUN NOUN PRT NOUN NOUN ADP ADJ ADP DET NOUN NOUN CONJ NOUN PRT VERB ADV VERB PRON NOUN ."
58: "ADP NOUN DET NOUN AUX ADV ADJ NOUN CONJ DET NOUN NOUN AUX ADV ADJ CONJ ADJ NOUN AUX VERB VERB CONJ DET NOUN VERB AUX DET ADJ ADP ADP NOUN ."
59: "CONJ PROPN VERB ADP NUM NOUN ADP PRON CONJ ADP NOUN PRON ADV VERB DET ADP DET ADJ ADJ NOUN ADP DET NOUN ."
69: "PRT PRON AUX VERB ADJ CONJ ADV PRON AUX VERB ."
70: "DET PRT AUX NOUN PRT NOUN ADJ NOUN NOUN NOUN NUM ADP NUM ADP DET ADJ NOUN DET ADJ NOUN PROPN NOUN ADP DET NOUN ."
75: "PRON VERB ADP DET ADJ NOUN ADJ DET ADJ NOUN AUX VERB DET ADJ NOUN ADP VERB DET NOUN ADP ADJ NOUN ADV ADP VERB DET ADJ NOUN ADP NOUN ."
84: "PRT VERB ADJ PRT ."
85: "PRON AUX ADJ ADV PRT PRON AUX VERB PRT VERB NOUN ."
95: "PRON AUX AUX DET NOUN ADV NOUN PRT VERB ADP ADJ NOUN CONJ ADP NOUN PRT VERB ADP NOUN DET ADJ CONJ ADV ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN ."
109: "DET AUX VERB ADP PRT ADV PRT NOUN ADP PRT DET NOUN ."
128: "DET NOUN AUX ADV VERB PRON ADV ADV PRON VERB PRON ADV PRT DET NOUN NOUN PRT NOUN PRT PRON AUX ADV NOUN ADP NOUN AUX DET ADJ NOUN DET CONJ ADP NOUN PRON ADV VERB PRON ADV PRT VERB ."
165: "DET AUX PRON ADV PRT NOUN VERB ADP PRON ."
178: "CONJ DET DET AUX VERB PRT DET NOUN AUX NOUN DET CONJ VERB NOUN CONJ PRT NOUN VERB NOUN CONJ VERB DET ADV PRT VERB PRT DET NOUN ."
199: "ADP ADJ NOUN PRON AUX VERB DET NOUN ADP NOUN CONJ NOUN DET NOUN ADP VERB NOUN PRT NOUN ."
209: "ADV DET AUX ADJ ADV PRON AUX VERB ADJ ADV DET AUX VERB PRT NOUN AUX NOUN PRT ADV DET NOUN NOUN CONJ VERB NOUN NOUN ADP PROPN ADV AUX DET AUX ADJ NOUN AUX ADJ PRON AUX ADJ NOUN CONJ DET NOUN ."
213: "DET VERB PRON ADV ADP DET NOUN ADP NOUN PRT PRON AUX VERB DET NOUN PRT NOUN ADV ."
220: "PROPN AUX ADJ PRT VERB DET PRT PRT AUX VERB ADP NOUN PRON VERB DET VERB NOUN PRT PRT PRON VERB ADP DET NOUN PRT NOUN AUX VERB VERB ."
223: "PRT AUX ADV NOUN PRT VERB ADP PRON ADV CONJ PRON AUX PRT VERB ADP PRON ADV PRT DET NOUN NOUN PRON VERB VERB VERB ADV DET NOUN VERB AUX ADV VERB ADP DET NOUN ADJ VERB PRT NOUN VERB VERB ."
275: "DET NOUN AUX VERB DET NOUN ADP DET ADJ NOUN ADP NOUN DET NOUN AUX VERB ADP DET NOUN VERB DET NOUN DET ADJ NOUN NOUN PRT VERB NOUN ADP DET NOUN ADP ADJ NOUN PRT VERB ADJ ADP DET NOUN ."
277: "DET AUX ADV NOUN PRT NOUN DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN CONJ NOUN DET NOUN NOUN AUX VERB ADP DET ADJ NOUN CONJ NOUN DET ADP NOUN VERB DET NOUN PRT NOUN VERB ADP NOUN ."
301: "PROPN VERB NOUN NOUN VERB ADP NOUN PRT VERB ."
303: "PRON AUX VERB ADP PROPN ADP ADJ PRT CONJ NOUN DET NOUN AUX AUX NOUN ADV PRT VERB NOUN NOUN PRT VERB DET VERB NOUN VERB DET VERB NOUN ."
304: "CONJ ADP NOUN CONJ NOUN PRT NOUN PROPN NOUN VERB VERB ADP PROPN ."
329: "PRON AUX AUX NOUN ADP VERB PRON AUX AUX DET ADJ NOUN DET NOUN ADP PROPN NOUN ADP PROPN AUX VERB VERB PRT VERB ADP DET ADJ NOUN CONJ NOUN PRT NOUN DET ADJ VERB ADP NOUN VERB VERB NOUN ."
338: "PROPN NOUN VERB ADV VERB DET NOUN ADV ADP DET NOUN NOUN VERB NOUN ."
347: "PRON AUX ADV VERB ADP NOUN ."
351: "PRT PRON AUX ADJ ADV ADP DET NOUN NOUN ADP ADJ ADV VERB PRT NOUN NOUN VERB PRON ."
354: "PRON AUX VERB PRON ADP PRON PRON ADV PRT ADV PRON NOUN AUX VERB ADP PRON DET VERB CONJ PRON NOUN VERB VERB VERB ADJ CONJ PRON NOUN AUX VERB ADV ADP ADJ ADP DET ADJ ADJ ADP PRON NOUN AUX VERB ADP NOUN ."
369: "PRON NOUN AUX ADJ ADP NOUN PRON NOUN AUX AUX ADV ADP NOUN ADV DET NOUN ADP DET NOUN NOUN NOUN AUX VERB DET NOUN ADP DET ADJ NOUN PRT VERB PRON NOUN ADV PRT VERB PRON NOUN VERB NOUN ."
390: "PRON VERB PRON NOUN ADP DET ADJ NOUN NOUN ADP NOUN PRT PROPN NOUN ADP DET NOUN PRT PRON VERB ADP DET NOUN PRT NOUN ADP DET NOUN ADP NOUN PROPN ."
394: "PROPN AUX PRT VERB PRT ADV PRON AUX VERB ADP PRON PRT PRT PRT NOUN DET NOUN ADP DET NOUN NOUN AUX ADJ ADP PRON NOUN CONJ PRT VERB ADP NOUN ."
401: "PRON AUX PRT VERB PRT DET NOUN ."
404: "ADP PROPN , PRON VERB DET ADP NUM DET NOUN ADP DET NOUN NOUN PRON AUX VERB PRT ADV DET NOUN ADP PROPN VERB ADP DET ADJ NOUN ADP DET NOUN PRON NOUN PRT ADP DET NOUN NOUN ADP DET NOUN ."
412: "CONJ AUX AUX NOUN ADP PRON NOUN DET NOUN AUX AUX ADV PRT ADP ADJ ADP PRT ADP ADJ NOUN PRT AUX VERB VERB PRT DET ADJ NOUN CONJ AUX ADV VERB VERB PRT ADP ADJ VERB ."
419: "CONJ AUX ADJ PRT PRT DET NOUN AUX ADV PRT DET PRT PRT ADV ADP DET ADV NOUN PRON PRT VERB ADP DET NOUN ."
421: "NOUN AUX VERB PRT PRT DET NOUN NOUN , PRON AUX ADV DET NOUN PRT VERB DET NOUN AUX PRT DET NOUN AUX ADV NOUN DET ADJ NOUN AUX NOUN PRON PRT DET NOUN PRT VERB ."
431: "DET VERB ADV DET NOUN ADP DET NOUN ADP NOUN AUX AUX VERB PRT DET NOUN AUX VERB DET NOUN PRT ADP VERB VERB PRON ADV ADP ADJ NOUN DET DET NOUN AUX AUX ADP ADV DET NOUN ."
433: "PRON AUX ADV PRT DET NOUN PRT DET NOUN NOUN PRT CONJ PRT ADJ CONJ NOUN ADV ADP VERB DET NOUN ADP DET NOUN PRT NOUN DET PRT NOUN DET NOUN VERB VERB NOUN CONJ ADV VERB PRT DET ADP NOUN ."
458: "DET ADJ NOUN ADP DET ADJ NOUN AUX AUX ADP DET NOUN NOUN ADP NOUN , NOUN PRT NOUN NOUN ADJ ADP NOUN DET NOUN AUX ADP ADJ ADP DET NOUN PRT NOUN AUX AUX NOUN DET NOUN PRT VERB ."
464: "PRON AUX ADV DET NOUN DET DET NOUN AUX ADV NOUN ADP DET NOUN ."
498: "PUNCT DET NOUN AUX VERB ADV ADP DET NOUN ."
510: "PRON AUX ADV VERB DET NOUN ADP DET NOUN AUX ADV ADV ADP DET NOUN NOUN ADP DET NOUN ."
515: "DET ADJ NOUN AUX VERB DET NOUN PRT ADP NOUN : DET NOUN , ADV VERB ADV DET NOUN ."
522: "ADJ NOUN AUX ADV VERB DET NOUN ADP NOUN , ADV PRT PRT ADP DET NOUN DET ADJ NOUN AUX VERB PRT VERB DET NOUN ."
527: "PUNCT PRT VERB DET NOUN DET NOUN ."
